,primary key,before,after
0,SK자하문주유소(세차장),"자하문로 246(SK자하문주유소,부암동155-3)",
0,SK허브수,구일로10길 27(구로동),
0,SW메디컬빌딩,진관동 69,서울 은평구 진관3로 20
0,SYO빌딩,방학동 676-21(방학로3길 6),
0,The-K Twin Towers,종로1길 50(중학동),
0,YTN 미디어센터,상암산로 76 (상암동),
0,가든파이브웍스,충민로 52(문정동 289),
0,가락동 농수산물도매시장(1~16호(가락시장현대화)),서울 송파구 양재대로 932,서울 송파구 양재대로 932
0,가산 더블유센터,가산디지털1로 181(가산동 371-106),
0,가산 아이에스비즈타워,가산디지털1로 75-24 (가산동 345-24),
0,가산 에스케이 브이원 센터,가산디지털1로 171(가산동 371-41),
0,가산2차 SK V1 AP tower 신축공사현장,가산동 673,서울 금천구 가산디지털1로 16
0,가산대명벨리온,가산디지털2로 127-33(가산동 776),
0,가산메트로지식산업센터 신축공사현장,가산로9길 80(가산동 60-29),
0,가산미소지움관리단,서부샛길 528(가산동 550-17),
0,가산센트럴푸르지오시티오피스텔,"디지털로10길 69(가산동 233-5, 가산센트럴푸르지오시티오피스텔)",
0,가양역더스카이밸리5차지식산업센터,화곡로 416,서울 강서구 화곡로 416
0,강남오피스텔대표,서초대로73길 40(서초동 1308-25),
0,강남중앙교회(조남수),석촌호수로 162(삼전동 111-16),
0,강변 SK VIEW,아차산로 431,서울 광진구 아차산로 431
0,강변한신코아,마포대로4다길 18,서울 마포구 마포대로4다길 18
0,강북노인요양원,삼양로92길 20(수유동),
0,강북삼성병원,새문안로 29,서울 종로구 새문안로 29
0,강북제일교회,도봉로 214(미아동),
0,개인주택,중앙본로 98(목동),
0,갤러리아 포레,왕십로로 85 (성수1가2동),
0,갤러리아 포레 상가,서울숲2길 32-14 (성수1가2동),
0,갤러리아 포레 아파트,서울숲2길 32-14 (성수1가2동),
0,갤러리아팰리스생활지원센타,올림픽로 212(잠실동 40),
0,거여2차쌍용아파트,오금로 512,서울 송파구 오금로 512
0,건국건설,방이동 39번지,서울 송파구 올림픽로34길 6
0,건국대학교 신공학관,능동로 120-1,서울 광진구 능동로 120-1
0,건국대학교병원,능동로 120-1,서울 광진구 능동로 120-1
0,건영백화점,섬밭로 258,서울 노원구 섬밭로 258
0,경남레이크파크오피스텔상가동대표회의,석촌호수로 268(송파동 32-1),
0,경동미르웰여의도오피스텔,버드나루로7길 3,서울 영등포구 버드나루로7길 3
0,경원선민자역사 신축공사(창동역),창4동 135,서울 도봉구 마들로11길 77
0,경희대 사회교육연구원(조인원),율곡로 110(권농동),
0,경희의료원,"경희대로 23(회기동 1 ,경희의료원 )",
0,고대구로병원,구로동로 148 (구로동),
0,고덕그라시움,고덕로 333,서울 강동구 고덕로 333
0,고덕센트럴푸르지오아파트,고덕로 399,서울 강동구 고덕로 399
0,고덕아르테온,고덕로 360,서울 강동구 고덕로 360
0,고덕역 갑을명가시티 오피스텔,동남로75길 27,서울 강동구 동남로75길 27
0,고도일,"강남대로 505(반포동 736-9 ,고도일병원 )",
0,고려대학교 최첨단융복합센터,고려대로 73,서울 성북구 고려대로 73
0,고려아카데미텔1,마포대로 196 (아현동),
0,곡예곤,서울특별시 강북구 도봉로 190(미아동 121-20),
0,골드시네마타워,동작대로 89,서울 동작구 동작대로 89
0,골든팰리스,"통일로16길 4-1(무악동, 골든팰리스)",
0,공덕빌딩,마포대로 119 (공덕동),
0,공덕푸르지오 시티오피스텔,마포대로 156 (공덕동),
0,공덕푸르지오시티오피스텔,마포대로 156 (공덕동),
0,공릉 삼익2차아파트,공릉로 34길 118(공릉2동 754),
0,공릉 신도1차아파트,동일로191가길 59(공릉1동 748),
0,공릉 한보아파트,공릉로 46길 19(공릉2동 743),
0,공릉8단지 청솔아파트,노원로 1가길 10,서울 노원구 노원로1가길 10
0,과기원L3연구동건설현장,화랑로14길 5,서울 성북구 화랑로14길 5
0,관리실,"서울특별시 강북구 한천로 1131(수유동 729 ,현대아파트 )",
0,관악 농산물 백화점,남부순환로1369(신림동),
0,관악IC통합집수정,"강남순환도로㈜ 금천영업소,신림로40",
0,관악구청,관악로145(봉천동 1570-1),
0,관악농업협동조합,신림동 1668-28,
0,광덕개발주식회사,화곡로18길 24(강서뉴타워 ),
0,광림교회,"압구정로22길 21(신사동 570-8 ,광림교회 )",
0,광석교회,왕산로26길 49(용두동 65-24),
0,광안빌딩,시흥대로578(신림동 1643),
0,광운학술정보관,광운로 20 광운대학교(월계1동 447-1),
0,광진아크로텔 관리지원센터,아차산로 355,서울 광진구 아차산로 355
0,광진아크로텔관리지원센터,아차산로 355,서울 광진구 아차산로 355
0,교보리얼코,노해로 467(상계6동 712-1),
0,교보리얼코(주),영등포로 96(당산동2가 21-26),
0,교보생명,동작대로 59,서울 동작구 동작대로 59
0,교보생명빌딩,신촌로 134 (노고산동),
0,교육관,(지하)서울특별시 강북구 도봉로 51-19(미아동 465-4),
0,교통안전공단 상암자동차검사소,구룡길 15 (상암동),
0,교통안전공단상암자동차검사소,구룡길 15 (상암동),
0,구로선경오피스텔,공원로 3 (구로동),서울 구로구 공원로6길 16-22
0,구의아크로리버,구의강변로 64,서울 광진구 구의강변로 64
0,국립중앙박물관,서빙고로 137 (용산동6가),
0,국립현대미술관,"삼청로 30(소격동,서울관 )",
0,국민은행 노원종합금융센터,상계동 731-5,서울 노원구 동일로 1405
0,국제방송,남부순환로 2351(서초동 1467-80),
0,국회의원회관,"의사당대로 1(여의도동 1 ,국회의원회관)",서울 영등포구 의사당대로 1
0,그랜드백화점,신촌로 94 (노고산동),
0,그랜드센트럴,남대문로5가 253,
0,그랜드힐 오피스텔,마장로9길 49-15,서울 중구 마장로9길 49-15
0,그랜드힐튼호텔,연희로 353(홍은동 201-1),
0,그레이스앤존,장한로23길 11-9(장안동 372-7),
0,근상프리즘팰리스,구일로8길 6 (구로동),
0,금융감독원,효자로 11(통의동),
0,금정우리가아파트,고덕로27길 7,서울 강동구 고덕로27길 7
0,금천 벤츠 서비스센터,시흥대로 169 (시흥동 987-9),
0,금천구청사,시흥대로73길 70(시흥동 1020),
0,금천롯데캐슬골드파크2차 상가,"벚꽃로 30(독산동 448-13 ,금천 롯데캐슬 골드파크2차 상가 )",
0,금천롯데캐슬골드파크2차아파트(관리사무소),"벚꽃로 30(독산동 448-13 ,금천 롯데캐슬 골드파크2차아파트 )",
0,금천롯데캐슬골드파크3차 상가관리단,"시흥대로 291(독산동 1155, 금천롯데캐슬골드파크3차상가)",
0,금천롯데캐슬골드파크3차아파트관리사무소,"시흥대로 291(독산동 1155, 금천롯데캐슬골드파크3차아파트)",
0,금천롯데타워,"벚꽃로 104(독산동 1005 ,롯데건설 건축현장 )",
